,EC squamous,EC squamous.1,EC squamous.2,EC squamous.3,EC squamous.4,EC squamous.5,EC squamous.6,EC squamous.7,EC squamous.8,EC squamous.9,normal buffy coat,normal buffy coat.1,normal buffy coat.2,normal buffy coat.3,normal buffy coat.4,normal buffy coat.5,normal buffy coat.6,normal buffy coat.7,normal buffy coat.8,normal eso,normal eso.1,normal eso.2,normal eso.3,normal eso.4,normal eso.5,normal eso.6,normal eso.7,normal eso.8
chr4.11652442.R,17,21,8,17,2,13,5,14,8,NA,18,13,2,2,16,10,3,5,17,15,36,14,6,23,20,5,26,23
chr4.11652463.R,20,18,9,17,2,12,10,17,2,NA,16,11,3,3,17,10,2,4,19,15,36,18,5,22,22,6,27,24
chr4.11652484.R,16,20,NA,13,2,9,10,13,6,NA,13,12,3,2,13,11,2,5,9,12,30,13,5,18,20,5,24,22
chr4.11652506.R,26,21,8,19,4,11,10,19,8,NA,16,14,2,3,17,12,3,9,26,17,32,18,7,26,23,5,28,21
chr4.11652512.R,18,21,8,16,2,12,6,17,5,NA,14,10,1,3,18,10,4,7,22,14,32,16,7,22,21,2,25,21
chr4.1165258.R,1,0,NA,0,NA,0,NA,7,0,NA,0,0,0,1,1,0,0,0,3,2,1,5,0,4,0,1,0,0
chr4.1165268.R,0,0,NA,0,NA,0,NA,3,2,NA,0,0,0,0,1,0,0,0,1,1,1,2,0,3,0,1,0,0
chr4.1165270.R,2,0,NA,0,NA,0,NA,3,4,NA,0,0,0,1,1,0,0,0,1,1,1,2,0,1,0,0,0,0
chr4.1165289.R,1,0,NA,0,NA,0,NA,3,0,NA,0,1,2,1,1,1,0,0,1,3,1,5,0,3,0,1,0,1
chr4.8859888.R,0,0,5,0,NA,0,0,4,0,0,2,0,0,NA,1,0,2,0,0,0,0,0,0,1,0,2,0,4
chr4.8859890.R,1,0,6,0,NA,0,0,5,0,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,2,0,3,0,3
chr4.8859921.R,2,0,5,0,NA,0,0,2,2,0,0,0,1,NA,0,1,1,4,2,0,0,1,0,4,0,5,0,1
chr4.8859927.F,1,0,12,0,7,1,0,1,0,5,1,1,0,1,3,2,4,0,0,2,0,7,0,7,0,15,0,4
chr4.8859928.R,0,1,6,0,NA,0,0,5,0,0,0,0,2,NA,0,2,1,4,2,0,0,2,0,4,0,9,2,3
chr4.8859939.F,4,0,12,0,10,1,0,4,3,0,4,5,7,3,6,6,5,4,3,3,0,4,0,8,1,27,0,5
chr4.8859940.R,1,3,14,0,10,1,0,8,5,0,2,5,4,0,8,6,3,0,1,3,0,3,0,6,0,24,1,4
chr4.8859944.F,10,0,15,0,10,1,0,7,2,2,2,2,17,2,3,6,9,4,2,2,1,4,1,11,0,26,1,5
chr4.8859945.R,6,2,17,2,10,0,0,7,2,6,5,7,5,1,7,7,3,2,5,3,0,5,0,10,1,32,0,4
chr4.8859950.F,14,0,14,1,9,1,1,5,2,0,4,4,12,11,7,4,10,0,3,4,0,14,0,10,1,28,2,5
chr4.8859951.R,6,2,17,2,10,1,1,9,5,0,6,7,6,2,9,11,7,3,4,2,0,6,2,11,1,31,0,4
chr4.8859952.F,14,0,14,0,9,0,1,5,3,0,1,2,5,6,1,1,7,0,2,3,0,13,0,9,0,28,1,5
chr4.8859953.R,4,1,17,0,9,2,1,10,4,6,3,4,4,0,6,10,6,0,3,1,0,5,2,9,2,32,0,4
chr4.8859954.F,3,0,15,0,9,0,0,5,1,2,3,1,5,0,0,4,1,0,3,2,1,12,0,9,0,29,1,5
chr4.8859955.R,2,0,14,0,10,1,0,7,3,6,2,7,5,0,6,7,1,0,0,3,0,5,1,8,1,30,0,4
chr4.8859956.F,5,0,13,0,8,0,2,5,1,2,4,2,13,6,2,3,7,8,5,2,1,7,0,8,0,26,0,4
chr4.8859957.R,1,1,15,0,11,1,0,8,2,0,6,6,6,2,8,5,6,2,2,3,0,4,1,9,1,32,1,5
chr4.8859970.F,5,0,11,0,3,0,2,2,0,2,2,1,1,2,2,2,1,4,2,2,0,8,1,9,0,10,1,1
chr4.8859971.R,4,2,17,1,5,1,0,5,2,7,2,3,5,1,1,4,2,0,0,1,0,3,1,17,0,19,1,4
chr4.8859976.F,21,0,15,1,9,0,3,3,2,0,4,2,5,4,4,5,6,4,4,3,1,14,0,9,0,29,1,5
chr4.8859977.R,6,1,21,3,11,0,1,9,1,7,5,13,7,2,5,11,7,4,2,5,2,7,1,15,0,34,0,6
chr4.8859990.F,16,0,6,0,5,1,1,5,0,2,1,1,1,3,5,5,2,0,2,2,0,13,0,8,0,23,0,9
chr4.8859991.R,11,1,23,0,12,0,2,9,1,6,7,9,8,3,5,7,1,5,1,2,0,6,1,16,1,33,0,7
chr4.8859995.F,2,1,5,1,4,1,1,2,1,2,4,2,6,0,7,3,4,0,3,1,0,10,1,7,0,26,0,5
chr4.8859996.R,8,3,27,4,11,0,1,6,3,0,5,11,0,1,4,7,2,0,7,2,0,7,1,16,1,33,0,7
chr4.8859998.F,2,0,4,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,2,0,0,3,0,6,0,7,0,3
chr4.8859999.R,4,1,17,0,3,0,0,1,3,0,4,1,0,1,3,4,1,0,8,1,0,2,1,13,1,14,0,7
chr4.8860002.F,6,0,4,0,1,0,0,0,1,0,0,1,4,0,0,1,1,3,2,0,0,2,0,6,0,10,0,4
chr4.8860003.R,10,1,18,1,1,0,1,0,0,0,1,6,2,0,4,2,0,0,1,1,0,1,0,13,1,19,0,3
chr4.8860004.F,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,6,0,9,0,5
chr4.8860005.R,7,1,15,0,1,0,0,1,0,0,1,2,0,1,2,2,0,0,0,0,0,1,0,13,0,15,0,7
chr4.8860022.F,2,0,2,0,1,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,2
chr4.8860023.R,1,0,17,1,5,0,0,2,0,0,1,6,0,0,1,0,3,0,0,0,0,1,0,11,0,2,0,3
chr4.8860038.R,2,1,20,0,10,0,0,8,1,1,2,4,2,0,3,4,1,0,0,1,0,4,1,13,0,16,0,5
chr4.13543577.F,16,2,9,3,1,1,1,4,5,0,3,5,6,4,8,4,4,3,4,9,2,6,2,17,1,15,0,0
chr4.13543582.F,16,2,8,0,2,1,2,1,4,0,3,3,0,0,6,3,3,6,2,9,2,4,2,20,3,15,1,0
chr4.13543584.F,15,3,6,0,0,0,1,1,2,0,4,2,0,1,7,1,3,3,1,9,0,3,1,21,1,13,0,0
chr4.13543595.F,15,2,11,6,1,1,1,2,12,1,2,4,0,6,5,3,4,13,1,10,3,8,5,17,9,13,0,0
chr4.13543612.F,17,2,7,2,2,2,1,4,6,1,7,5,0,2,9,5,3,2,3,14,3,4,1,16,7,18,2,1
chr4.13543631.F,15,1,6,0,0,1,3,1,6,1,2,2,0,4,8,7,2,8,1,10,3,3,1,16,3,22,0,1
chr4.13543640.F,15,0,6,1,1,0,1,1,3,0,6,4,0,1,6,6,2,6,1,7,0,4,1,16,1,18,0,0
chr4.13543641.R,13,0,4,3,2,0,1,5,2,NA,3,8,0,3,2,1,3,3,0,0,1,1,0,12,1,12,0,0
chr4.13543653.F,13,0,5,2,1,2,1,1,1,1,1,3,2,1,7,4,5,11,2,8,0,3,0,15,2,17,2,0
chr4.13543654.R,14,0,4,0,0,0,0,3,6,NA,2,8,0,2,1,2,3,0,0,3,0,5,3,12,2,13,0,0
chr4.13543677.F,14,0,4,0,0,1,0,1,4,0,2,2,0,0,4,2,0,1,1,6,0,4,0,13,0,13,0,0
chr4.13543678.R,13,0,3,0,0,0,0,2,4,NA,2,4,0,1,1,2,3,1,1,3,0,2,0,9,1,10,1,0
chr4.13543711.R,13,0,4,0,1,0,1,2,2,NA,0,6,0,0,0,1,0,1,0,3,0,1,0,8,1,9,0,0
chr4.13543721.R,13,0,5,0,0,0,1,4,3,NA,0,3,0,0,0,2,3,0,0,3,1,2,0,8,2,12,0,0
chr4.13543731.R,13,1,5,0,1,1,1,4,5,NA,2,7,0,5,0,1,6,0,0,3,0,1,1,12,1,11,3,0
chr4.13543733.F,NA,0,1,0,NA,NA,0,5,2,NA,1,1,1,0,1,2,0,0,0,2,0,0,0,2,0,4,1,NA
chr4.13543734.R,12,1,4,0,0,0,1,1,2,1,2,3,0,0,1,1,0,0,0,2,0,0,0,8,1,10,1,0
chr4.13543754.F,NA,0,0,0,NA,NA,2,6,0,NA,2,1,0,0,0,1,0,0,0,1,0,0,0,4,0,7,0,NA
chr4.13543757.F,NA,1,2,0,NA,NA,2,5,2,NA,3,1,0,1,1,4,2,0,0,2,2,1,1,4,0,7,1,NA
chr4.13543759.F,NA,2,3,0,NA,NA,3,5,2,NA,2,2,0,0,1,3,3,1,0,1,0,1,2,4,0,9,0,NA
chr4.13543775.F,NA,1,3,0,NA,NA,3,5,4,NA,5,2,2,0,2,4,3,0,0,2,0,1,2,3,2,7,0,NA
chr4.13543828.F,12,0,5,0,0,0,0,1,2,NA,0,1,0,0,1,1,0,3,2,2,0,0,0,14,0,20,0,0
chr4.13543829.R,NA,1,1,0,NA,1,NA,2,0,NA,NA,0,NA,0,2,0,0,0,NA,0,0,0,0,5,0,6,1,0
chr4.13543832.R,13,1,3,0,NA,2,2,4,1,0,3,2,3,0,3,3,1,0,0,3,0,0,1,15,0,8,1,1
chr4.13543847.R,22,0,3,0,NA,0,1,3,0,0,3,3,0,0,4,4,1,0,0,3,0,0,0,14,1,8,0,1
chr4.13543850.R,18,0,3,0,NA,0,0,3,0,0,2,1,0,2,3,0,1,0,0,1,2,0,0,8,0,3,0,1
chr4.13543876.R,20,0,3,2,NA,1,0,5,2,0,2,3,0,0,3,0,3,3,3,3,0,0,0,18,1,7,1,1
chr4.13543881.R,15,0,3,1,NA,0,2,8,8,0,2,1,0,2,5,0,1,2,0,3,1,2,0,19,1,7,0,1
chr4.13543894.R,17,1,4,0,NA,0,4,8,10,0,5,1,0,5,4,0,1,1,1,4,0,2,2,19,1,8,0,0
chr4.13543897.R,18,0,2,0,NA,0,0,5,3,0,2,2,0,8,3,2,3,0,0,3,0,1,0,19,0,8,0,0
chr4.13543899.R,19,1,3,0,NA,0,1,5,5,0,2,1,0,3,3,0,1,0,0,2,0,1,0,19,2,8,0,1
chr4.13543911.R,20,2,4,0,NA,0,1,7,12,0,3,7,5,19,7,2,3,11,2,5,3,4,3,17,5,7,2,1
chr4.13543913.R,19,0,3,1,NA,0,1,4,1,0,3,3,1,5,8,3,3,3,2,3,1,1,0,19,0,8,0,1
chr4.13543917.R,18,1,3,0,NA,1,0,5,0,0,2,2,0,6,3,0,1,4,0,4,0,1,1,17,0,8,0,1
chr4.13543923.R,19,1,3,1,0,0,0,5,2,4,3,2,0,9,5,4,4,0,0,2,0,3,1,21,1,6,2,1
chr4.13545395.F,5,2,14,4,NA,1,NA,19,8,NA,NA,10,8,4,2,6,1,22,12,7,2,15,4,18,3,15,4,11
chr4.13545397.F,3,3,13,3,NA,1,NA,19,7,NA,NA,7,3,0,2,5,3,11,11,5,2,13,3,15,3,15,2,11
chr4.13545410.F,4,2,13,2,NA,0,NA,15,9,NA,NA,5,6,3,1,0,1,8,9,4,0,13,2,15,1,15,0,10
chr4.13545428.F,3,3,14,1,NA,0,NA,19,0,NA,NA,4,3,2,2,2,3,8,10,2,0,13,1,13,2,14,0,10
chr4.13545430.F,2,1,13,0,NA,0,NA,16,1,NA,NA,4,3,8,3,2,3,4,5,3,0,13,2,13,1,15,0,11
chr4.13545438.F,4,2,11,2,NA,2,NA,18,3,NA,NA,6,4,0,2,2,1,7,7,4,0,14,2,17,2,15,0,10
chr4.13545448.F,2,0,13,0,NA,0,NA,12,1,NA,NA,5,2,0,2,0,0,5,4,0,0,6,2,12,0,10,0,2
chr4.13545449.R,0,5,8,2,4,1,1,5,3,0,4,6,2,2,1,1,2,3,10,0,0,11,0,11,1,14,0,0
chr4.13545466.F,1,0,11,0,NA,1,NA,13,1,NA,NA,4,2,0,0,0,1,4,4,1,0,7,1,11,3,11,1,2
chr4.13545467.R,1,2,9,3,4,0,2,4,2,0,3,2,1,3,2,2,4,3,2,2,0,11,1,11,0,11,1,1
chr4.13545478.F,1,1,10,0,NA,0,NA,9,2,NA,NA,1,1,0,0,0,1,3,6,1,0,9,0,9,0,11,0,10
chr4.13545479.R,1,3,7,1,5,0,2,5,2,0,2,7,0,0,2,5,0,9,3,2,1,13,1,14,0,15,0,2
chr4.13545495.R,0,2,6,1,1,0,0,5,0,0,3,4,0,2,1,1,0,6,2,1,0,7,1,12,1,11,0,2
chr4.13545508.R,1,5,6,0,5,0,1,5,1,0,0,3,2,0,1,5,0,0,0,2,0,8,1,10,2,17,0,1
chr4.13545511.R,0,3,7,0,5,2,1,7,2,4,0,2,1,3,0,1,0,2,2,2,0,7,1,10,1,14,0,0
chr4.13545524.R,2,4,8,1,7,0,1,11,2,4,1,7,0,4,5,2,2,6,10,3,0,9,1,18,0,18,0,1
chr4.13545526.R,2,0,7,1,6,0,1,8,1,5,0,5,0,0,2,2,0,5,1,1,0,9,1,12,0,17,0,1
chr4.13545543.R,1,1,6,3,8,2,2,7,0,0,1,3,1,1,2,2,1,2,3,2,0,8,0,14,0,16,0,2
chr4.102711871.F,7,0,9,0,NA,0,1,5,0,0,NA,0,0,0,NA,0,1,4,0,1,0,2,0,1,1,1,0,NA
chr4.102711879.F,6,0,9,0,NA,0,3,8,1,0,NA,0,2,0,NA,1,0,4,7,1,0,2,0,1,0,1,0,NA
chr4.102711897.F,6,0,8,0,NA,0,2,6,0,0,NA,0,3,0,NA,2,2,2,4,1,0,2,0,1,1,5,0,NA
chr4.102711906.F,6,0,9,0,NA,0,2,8,1,0,NA,0,2,0,NA,1,0,0,8,0,0,1,0,0,0,7,0,NA
chr4.102711908.F,6,0,9,0,NA,0,2,4,1,0,NA,0,3,0,NA,1,0,6,4,0,0,1,0,1,0,5,0,NA
chr4.102711919.F,7,0,10,0,NA,0,2,5,1,0,NA,0,0,0,NA,0,2,2,10,1,0,1,0,0,0,7,0,NA
chr4.102711974.F,7,0,12,0,3,0,NA,10,3,NA,0,0,0,0,0,0,1,5,9,11,0,7,0,12,0,8,0,NA
chr4.102711991.F,6,0,12,0,2,0,NA,11,7,NA,1,3,1,0,0,4,2,5,11,12,0,7,0,13,0,11,0,NA
chr4.102711992.R,3,0,10,0,0,0,1,11,5,NA,0,2,0,4,2,0,4,6,15,5,0,6,0,8,0,8,1,2
chr4.102711995.F,7,0,10,1,2,0,NA,12,0,NA,0,0,1,0,0,1,1,5,13,9,0,7,0,10,0,10,1,NA
chr4.102711996.R,3,0,10,0,0,0,1,11,3,NA,0,1,0,5,0,0,0,1,13,5,0,7,0,7,0,3,0,2
chr4.102711998.F,7,0,12,1,3,1,NA,12,1,NA,0,0,1,0,0,2,1,5,13,12,0,7,0,14,0,11,0,NA
chr4.102711999.R,2,0,10,0,0,0,1,10,3,NA,0,0,0,2,2,0,1,1,17,5,0,7,1,10,0,8,0,0
chr4.102712010.F,7,0,11,0,4,0,NA,13,3,NA,0,0,0,0,0,1,3,4,13,11,0,7,0,9,0,10,0,NA
chr4.102712011.R,2,0,11,0,0,0,1,12,4,NA,0,1,0,4,1,1,3,2,19,3,0,10,0,9,2,7,0,2
chr4.102712021.F,8,1,11,0,3,0,NA,9,0,NA,0,0,2,0,0,0,0,7,11,10,0,7,0,6,0,10,0,NA
chr4.102712022.R,2,0,9,0,0,0,1,10,0,NA,0,1,0,0,0,0,0,1,15,4,0,8,0,6,0,7,0,2
chr4.102712031.F,7,0,10,0,4,0,NA,11,3,NA,0,0,3,0,0,1,1,5,12,11,0,7,0,11,0,8,0,NA
chr4.102712032.R,6,0,23,0,0,0,5,11,3,6,0,0,2,4,0,1,0,1,19,6,0,7,0,11,0,9,1,0
chr4.102712051.F,4,0,11,0,NA,NA,NA,5,0,NA,0,0,3,0,0,0,0,0,7,5,0,3,0,8,0,1,0,NA
chr4.102712052.R,11,0,23,0,0,0,8,7,2,9,0,0,2,0,0,0,0,1,15,4,0,5,0,5,0,2,0,0
chr4.102712076.R,2,0,19,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,1,0,1,1,2
chr5.1594392.F,9,0,13,0,0,0,NA,1,0,NA,0,2,3,0,0,2,0,0,0,7,0,0,0,2,0,0,0,NA
chr5.1594404.F,9,0,19,0,1,0,NA,5,0,NA,0,2,2,0,NA,2,1,0,3,5,1,0,0,4,0,0,0,NA
chr5.1594417.F,10,0,18,0,0,0,NA,1,0,NA,0,2,3,0,NA,2,0,0,2,6,0,0,0,4,0,0,0,NA
chr5.1594421.F,9,0,17,0,0,0,NA,4,0,NA,0,3,3,0,NA,2,0,0,3,7,0,0,0,5,1,0,0,NA
chr5.1594430.F,9,0,16,0,0,1,NA,2,0,NA,0,2,3,0,NA,2,0,0,0,7,0,0,0,3,0,0,0,NA
chr5.1594436.F,8,0,17,0,0,0,NA,2,0,NA,0,2,3,0,NA,2,0,0,1,7,0,0,0,3,0,0,0,NA
chr5.1594446.F,9,0,15,0,0,0,NA,2,0,NA,0,2,3,0,NA,2,1,0,1,7,0,0,0,3,0,0,0,NA
chr5.1594451.F,8,0,17,0,0,0,NA,2,1,NA,0,2,3,0,NA,1,0,0,0,6,0,0,0,3,0,0,0,NA
chr5.1594460.F,9,0,17,0,0,0,NA,2,0,NA,0,2,3,0,NA,2,0,0,0,7,0,0,0,3,0,0,0,NA
chr5.1594463.F,9,0,16,0,0,0,NA,1,0,NA,0,2,2,0,NA,2,1,0,1,7,0,0,0,3,0,0,0,NA
chr5.1594468.F,9,0,15,0,0,0,NA,2,0,NA,0,2,3,0,NA,2,0,0,0,7,0,0,0,3,0,0,0,NA
chr5.1594475.F,9,0,14,0,0,0,NA,1,0,NA,0,2,3,0,NA,2,0,0,1,7,0,0,0,4,0,1,0,NA
chr5.1594484.F,9,0,17,0,0,0,NA,2,0,NA,0,2,3,0,NA,2,1,0,0,7,0,0,0,3,0,0,0,NA
chr5.1594489.F,11,0,20,0,0,0,6,1,0,0,0,1,4,0,0,3,0,0,0,9,0,1,0,4,0,0,0,5
chr5.1594494.F,11,0,22,0,1,0,6,1,1,0,0,1,4,0,0,3,0,0,0,8,0,1,0,4,0,0,0,NA
chr5.1594496.F,10,0,22,0,0,0,6,1,0,0,0,0,4,0,0,3,0,0,0,8,0,1,2,3,0,0,0,NA
chr5.159449984.F,18,12,NA,11,8,NA,11,8,12,NA,13,9,19,18,NA,NA,15,25,16,15,22,17,21,13,15,12,19,21
chr5.159450000.F,20,13,NA,11,10,NA,8,11,13,NA,11,10,23,21,NA,NA,17,32,17,15,22,19,21,14,14,11,19,20
chr5.159450028.F,21,12,NA,11,8,NA,9,8,14,NA,15,10,22,21,NA,NA,17,27,16,15,20,17,20,14,15,12,19,20
chr5.159450037.F,23,11,NA,11,10,NA,9,11,14,NA,16,11,22,21,NA,NA,17,30,13,17,22,19,21,13,14,12,20,21
chr5.159450136.R,20,23,24,25,11,17,14,22,29,NA,21,14,44,19,NA,12,35,48,12,18,23,29,23,27,30,18,21,20
chr5.159450188.R,18,8,21,19,11,13,11,18,26,NA,19,12,40,20,NA,11,34,41,11,14,9,26,14,23,16,16,12,18
chr5.1594501.F,11,0,22,0,0,0,6,1,0,0,0,1,4,0,0,3,0,0,0,9,0,1,0,4,0,0,0,NA
chr5.1594510.F,10,1,22,0,0,0,6,1,0,0,0,2,4,0,0,3,1,0,1,10,0,2,1,6,0,0,0,NA
chr5.1594522.F,11,0,23,0,0,0,6,1,0,0,0,1,4,0,0,3,0,0,3,9,1,1,0,7,0,0,0,NA
chr5.1594529.F,11,0,23,0,0,0,6,1,0,0,0,1,4,0,0,3,0,0,3,8,0,1,0,4,0,0,0,NA
chr5.1594531.F,11,0,23,0,0,0,5,1,0,0,0,1,4,0,0,3,0,0,3,8,0,1,0,4,0,0,0,NA
chr5.1594536.F,10,0,23,0,0,0,6,1,0,0,0,2,4,0,1,3,1,0,3,8,1,1,0,6,0,0,0,NA
chr5.1594537.R,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
chr5.1594547.F,11,0,20,1,0,0,6,1,0,0,0,1,4,0,0,3,0,0,0,8,0,1,0,6,0,0,0,NA
chr5.1594548.R,0,0,0,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,2,0,0,0,0,3,1,0,0,0
chr5.1594549.F,11,0,23,0,0,0,6,1,0,0,0,1,4,0,0,3,0,0,3,6,0,1,0,6,0,0,0,NA
chr5.1594550.R,0,0,0,0,0,0,NA,0,0,NA,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0
chr5.159455199.R,17,12,16,18,6,14,8,19,25,NA,11,10,16,19,NA,19,15,28,NA,12,20,18,11,17,18,9,19,NA
chr5.159455223.R,17,13,16,19,11,17,9,19,24,NA,12,12,17,19,NA,18,17,29,NA,14,20,18,12,17,20,11,20,NA
chr5.159455231.R,18,13,14,18,10,15,7,18,25,NA,12,12,17,19,NA,19,17,27,NA,12,19,18,12,18,20,12,19,NA
chr5.1594564.F,11,0,23,0,0,0,6,1,0,0,0,1,4,0,0,3,0,0,3,7,0,1,0,6,0,0,0,NA
chr5.1594565.R,0,0,1,0,0,0,NA,1,0,NA,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,2
chr5.1594579.F,9,0,23,1,0,0,6,1,0,0,0,1,4,0,0,3,0,0,3,6,0,1,0,4,0,0,0,NA
chr5.1594580.R,1,0,2,1,0,0,NA,3,0,NA,0,0,1,0,0,0,0,0,6,5,1,0,0,1,0,0,0,3
chr5.1594585.F,9,0,23,0,0,0,6,1,0,0,0,2,4,0,0,3,0,0,3,7,0,1,0,4,0,0,0,NA
chr5.1594586.R,1,0,2,1,1,0,NA,1,0,NA,0,0,1,0,0,0,0,0,4,5,2,0,0,1,0,0,0,3
chr5.1594587.F,4,0,14,0,0,0,NA,1,0,0,0,2,4,0,1,3,0,0,5,6,0,1,0,5,0,0,0,NA
chr5.1594588.R,3,0,9,1,0,0,NA,5,0,NA,0,0,1,0,0,1,0,0,4,6,3,0,0,1,0,0,2,3
chr5.159459050.F,14,19,17,18,10,NA,18,20,12,NA,21,NA,11,20,20,NA,12,32,16,27,28,17,26,20,15,24,19,19
chr5.159459055.F,15,20,18,16,10,NA,19,19,15,NA,21,NA,14,20,20,NA,12,32,16,28,27,17,26,19,15,25,17,19
chr5.159459087.F,14,19,16,17,10,NA,20,19,15,NA,21,NA,14,20,20,NA,12,32,14,28,26,16,24,18,14,24,18,19
chr5.159459170.R,47,28,26,33,18,29,32,34,38,NA,22,17,24,26,29,19,43,34,22,37,51,36,56,36,27,35,39,33
chr5.159459194.R,49,28,23,33,18,28,32,35,41,NA,23,15,21,27,29,20,48,37,22,36,52,36,55,37,25,36,38,32
chr5.1594596.R,3,0,11,0,0,0,4,3,0,NA,0,0,1,1,0,1,0,0,0,7,1,0,0,3,0,0,0,4
chr5.1594606.R,5,1,11,0,0,0,5,3,0,NA,0,1,2,0,0,2,1,0,1,7,1,0,0,2,0,0,0,4
chr5.1594608.R,4,1,11,1,0,0,5,3,0,NA,0,0,2,0,0,2,0,0,1,9,1,0,0,2,0,1,0,4
chr5.1594617.R,5,1,10,1,0,0,5,3,0,NA,0,0,2,0,0,2,0,0,0,8,1,0,0,3,0,3,0,4
chr5.1594623.R,5,1,12,0,0,0,5,3,0,NA,0,0,2,1,0,2,0,0,3,10,1,0,0,1,0,1,0,4
chr5.1594632.F,4,0,3,0,NA,0,2,3,0,NA,NA,1,4,0,0,1,0,0,0,6,1,0,0,2,0,1,1,3
chr5.1594633.R,5,1,11,0,0,0,4,4,0,NA,0,0,0,0,0,2,0,0,0,7,1,0,0,1,0,0,0,4
chr5.1594638.F,3,0,2,0,NA,0,2,2,0,NA,NA,0,4,0,0,0,0,0,0,6,0,0,0,2,0,0,0,3
chr5.1594659.F,3,0,2,0,NA,0,1,2,0,NA,NA,0,4,0,0,0,0,0,0,6,0,0,0,2,0,0,0,3
chr5.1594661.F,2,0,2,0,NA,0,1,2,0,NA,NA,0,4,0,0,0,0,0,0,6,0,0,0,2,0,0,0,3
chr5.1594676.F,2,0,2,0,NA,0,1,0,0,NA,NA,0,4,0,0,0,0,0,0,5,0,0,0,1,0,0,0,3
chr5.1594678.F,2,0,2,0,NA,0,1,0,0,NA,NA,0,4,0,0,0,0,0,0,5,0,0,0,2,0,0,0,3
chr5.1594684.F,2,0,2,0,NA,0,1,3,0,NA,NA,0,2,0,0,0,0,0,1,6,0,0,0,2,1,0,0,3
chr5.1594688.F,2,0,2,0,NA,0,0,2,0,NA,NA,0,4,2,0,0,0,0,1,6,0,0,0,2,0,0,0,3
chr5.1594698.F,2,0,2,0,NA,0,1,2,0,NA,NA,0,4,0,0,0,1,0,1,6,0,0,0,4,0,1,0,3
chr5.1594715.F,1,0,2,0,NA,0,1,2,0,NA,NA,NA,4,0,1,0,0,2,1,6,0,0,0,2,0,0,0,3
chr5.1594716.R,4,0,14,0,NA,0,8,3,0,NA,0,0,3,0,0,3,0,0,0,8,2,0,0,12,0,0,0,NA
chr5.1594720.F,2,0,2,0,NA,0,1,2,0,NA,NA,0,4,0,0,0,0,0,1,6,0,0,0,4,0,0,0,3
chr5.1594721.R,4,0,15,0,NA,0,8,3,0,NA,0,0,2,0,1,3,0,0,0,8,2,0,0,12,0,0,0,NA
chr5.1594734.R,4,0,15,0,NA,0,9,3,0,NA,0,0,2,0,0,3,1,0,0,7,2,0,0,16,0,0,0,NA
chr5.1594742.R,4,1,16,0,NA,0,9,4,0,NA,0,0,2,0,1,3,0,0,0,9,2,0,0,16,0,0,0,NA
chr5.1594746.R,5,0,19,0,NA,0,11,4,0,NA,0,0,2,0,1,3,0,0,0,9,2,0,0,16,0,0,0,NA
chr5.1594752.R,5,0,18,0,NA,0,10,4,0,NA,0,0,2,0,0,3,0,0,0,8,2,0,0,13,0,0,1,NA
chr5.1594774.R,7,0,18,0,NA,0,13,2,0,NA,0,0,2,0,0,3,0,0,0,8,2,0,0,16,0,0,0,NA
chr5.1594776.R,7,0,17,0,NA,0,13,3,0,NA,0,0,2,0,0,3,0,0,0,9,2,0,0,16,0,0,0,NA
chr5.1594787.R,7,0,18,0,NA,0,13,5,1,NA,0,0,2,0,0,3,0,2,2,9,2,0,0,16,0,0,0,NA
chr5.1594797.R,7,0,16,0,NA,0,13,4,0,NA,0,0,2,0,0,3,0,0,0,8,2,0,0,16,0,0,0,NA
chr5.1594808.F,0,0,9,0,0,0,NA,1,0,NA,0,0,0,0,0,1,1,0,0,4,3,0,1,1,0,1,0,NA
chr5.1594809.R,7,0,18,1,NA,0,12,3,0,NA,0,1,2,0,0,3,0,0,0,9,2,0,0,15,0,0,0,NA
chr5.1594843.F,0,0,6,0,0,0,NA,1,0,NA,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,2,0,NA
chr5.1594863.F,0,0,8,0,0,0,NA,1,0,NA,0,0,1,0,0,1,0,1,0,4,1,0,0,0,0,2,0,NA
chr5.1594872.F,0,0,7,0,1,1,NA,1,0,NA,0,0,1,0,0,1,0,0,0,4,1,0,0,1,0,2,0,NA
chr5.1594882.F,0,0,6,0,1,0,NA,1,0,NA,0,0,1,0,0,1,0,0,0,4,1,0,0,1,2,2,0,NA
chr5.1594886.F,0,0,4,1,0,0,NA,1,0,NA,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,2,0,NA
chr5.1594895.F,0,0,5,1,0,0,NA,1,0,NA,0,0,1,0,0,2,0,0,0,3,1,0,1,1,0,2,1,NA
