,EC adenocarcinoma,EC adenocarcinoma.1,EC adenocarcinoma.2,EC adenocarcinoma.3,EC adenocarcinoma.4,EC adenocarcinoma.5,EC adenocarcinoma.6,EC adenocarcinoma.7,EC adenocarcinoma.8,EC adenocarcinoma.9,EC adenocarcinoma.10,EC adenocarcinoma.11,EC adenocarcinoma.12,EC adenocarcinoma.13,EC adenocarcinoma.14,EC adenocarcinoma.15,EC adenocarcinoma.16,normal buffy coat,normal buffy coat.1,normal buffy coat.2,normal buffy coat.3,normal buffy coat.4,normal buffy coat.5,normal buffy coat.6,normal buffy coat.7,normal buffy coat.8,normal eso,normal eso.1,normal eso.2,normal eso.3,normal eso.4,normal eso.5,normal eso.6,normal eso.7,normal eso.8
chr6.73331713.F,27,34,48,21,45,43,38,25,45,30,59,31,21,50,25,21,45,48,33,45,54,13,54,70,44,36,49,42,63,62,33,51,43,54,36
chr6.73331740.F,26,28,47,17,44,39,38,23,38,29,56,29,20,47,23,20,41,46,32,40,53,13,49,67,42,36,46,41,63,56,29,46,41,52,35
chr6.73331745.F,21,24,44,15,35,34,34,21,33,23,49,28,18,42,22,19,36,44,29,36,47,NA,46,56,33,33,43,39,52,51,28,44,39,46,31
chr6.88876367.F,21,42,28,13,26,26,25,10,22,NA,NA,26,15,32,11,24,11,18,11,23,37,10,12,31,18,21,34,18,22,24,20,16,NA,18,16
chr6.88876413.F,21,42,28,13,26,26,25,10,22,NA,NA,26,15,32,11,24,11,18,11,22,37,10,12,31,18,21,34,18,22,24,20,16,NA,18,16
chr6.88876414.R,21,28,31,11,30,18,26,21,41,15,NA,24,31,28,16,30,22,22,16,24,30,NA,24,53,32,10,24,21,13,31,20,21,21,24,25
chr6.88876416.F,21,42,28,13,26,26,25,10,22,NA,NA,26,15,32,11,24,11,18,11,22,37,10,12,31,18,21,34,18,22,24,20,16,NA,18,16
chr6.88876417.R,21,28,31,11,30,18,26,21,41,15,NA,23,31,28,16,30,22,21,16,24,30,NA,24,54,31,10,24,21,13,31,20,21,21,24,25
chr6.88876422.F,21,42,28,13,26,26,25,10,22,NA,NA,26,15,32,11,24,11,17,11,22,37,10,12,31,18,21,34,18,22,24,20,16,NA,18,16
chr6.88876423.R,21,28,31,11,30,18,26,21,41,15,NA,25,31,28,16,30,22,22,16,24,30,NA,24,54,32,10,24,21,13,31,20,21,21,24,25
chr6.88876428.F,21,42,28,13,26,26,25,10,22,NA,NA,26,15,32,11,24,11,18,11,22,37,10,12,31,18,21,34,18,22,24,20,16,NA,18,16
chr6.88876429.R,21,28,31,11,30,18,26,21,41,15,NA,25,31,28,16,30,22,22,16,24,30,NA,24,54,32,10,24,21,13,31,20,21,21,24,25
chr6.88876445.F,21,42,28,13,26,26,25,10,22,NA,NA,25,12,32,11,23,11,18,11,22,36,10,12,31,17,21,32,18,21,24,18,16,NA,18,16
chr6.88876446.R,21,28,31,11,30,18,26,21,40,15,NA,25,31,28,16,29,22,22,16,24,30,NA,24,54,32,10,24,21,13,31,20,21,21,24,25
chr6.88876452.R,21,28,31,11,30,18,26,21,41,15,NA,25,31,28,16,30,22,22,16,24,30,NA,24,54,32,10,24,21,13,31,20,21,21,24,25
chr7.37487755.F,29,33,42,17,41,27,22,16,36,10,17,32,52,27,21,18,17,17,12,16,26,12,59,37,30,26,23,32,30,28,13,34,23,27,32
chr7.37487776.F,28,33,42,17,41,27,22,16,36,10,17,32,52,27,21,18,17,16,12,16,26,12,59,36,30,26,23,32,30,28,13,34,23,27,32
chr7.37487792.F,28,33,41,17,41,27,22,16,36,10,17,32,52,27,21,17,17,16,12,16,26,12,59,36,30,26,23,32,29,28,12,34,22,27,32
chr7.37487795.F,28,33,41,17,41,27,22,16,36,10,17,32,52,27,21,17,17,16,12,16,26,12,59,36,30,26,23,32,29,28,12,34,22,27,32
chr7.37487806.F,28,33,41,17,41,27,22,16,36,10,17,32,52,27,21,17,17,16,12,16,26,12,58,36,30,26,23,32,29,28,12,34,22,27,32
chr7.37487812.F,28,33,41,17,41,27,22,16,36,10,17,32,52,27,21,17,17,16,12,16,26,12,58,36,30,26,23,32,29,28,12,34,22,27,32
chr7.37487904.R,22,17,17,14,20,NA,25,13,25,NA,14,13,13,13,23,12,NA,11,NA,NA,19,NA,15,19,28,15,15,18,10,28,16,11,19,22,27
chr7.37487906.R,22,17,17,14,21,NA,25,13,25,NA,14,13,13,13,23,12,NA,11,NA,NA,18,NA,15,19,29,15,15,18,10,26,16,11,18,21,26
chr7.37487918.R,22,17,20,14,21,10,26,13,24,NA,15,13,13,13,24,12,NA,13,NA,NA,19,NA,17,20,30,15,15,19,10,28,16,12,19,23,27
chr7.37487931.R,22,17,20,14,23,10,26,13,25,NA,17,13,13,13,24,12,NA,13,NA,NA,19,NA,17,20,30,15,15,20,11,28,16,12,19,24,27
chr7.37487941.R,22,17,20,14,23,10,26,13,25,NA,17,13,13,13,24,12,NA,13,NA,NA,19,NA,17,20,30,15,15,20,11,28,16,12,19,24,27
chr7.37487944.R,22,17,20,14,23,10,26,13,25,NA,17,13,13,13,24,12,NA,13,NA,NA,19,NA,17,20,30,15,15,20,11,28,16,12,19,24,27
chr7.37487952.R,22,17,20,14,23,10,26,13,25,NA,17,13,13,13,24,12,NA,13,NA,NA,19,NA,17,20,30,15,15,20,11,28,16,12,19,24,27
chr7.37488036.F,46,52,59,46,53,52,51,26,57,10,31,60,68,75,51,56,32,57,50,28,130,37,82,86,78,37,66,50,29,56,39,45,45,41,61
chr7.37488064.F,34,49,53,41,45,47,38,22,51,NA,24,54,60,68,49,53,27,54,45,27,114,31,68,72,64,32,57,43,26,49,31,38,27,34,55
chr7.37488069.F,34,49,55,42,45,47,44,22,51,NA,25,55,60,68,49,53,27,54,45,27,115,31,68,72,64,32,58,43,26,49,31,39,27,34,55
chr7.37488072.F,34,49,55,42,45,47,44,22,51,NA,25,55,60,68,49,53,27,54,45,27,115,31,68,72,64,32,58,43,26,49,31,39,27,34,55
chr7.37488074.F,34,49,55,42,45,47,44,22,51,NA,25,55,60,68,49,53,27,54,45,27,115,31,68,72,64,32,58,43,26,49,31,39,27,34,55
chr7.37488078.F,34,49,55,42,45,47,44,22,51,NA,25,55,60,68,49,53,27,54,44,27,115,31,68,72,64,32,58,43,26,49,31,39,27,34,55
chr7.37488095.F,34,47,54,41,45,45,44,22,51,NA,25,55,60,68,48,52,26,54,43,26,115,30,68,72,63,32,58,42,25,49,31,38,27,34,54
chr7.37488099.F,34,47,54,41,45,45,44,22,50,NA,25,55,60,68,49,50,24,54,43,26,114,29,68,72,63,32,54,42,25,49,30,38,27,34,53
chr7.37488101.F,34,47,54,41,45,45,44,22,51,NA,25,55,60,67,49,52,25,54,43,26,114,29,68,72,63,32,52,42,25,49,31,37,27,34,53
chr7.37488104.F,34,47,54,41,45,45,43,22,51,NA,24,55,60,68,49,52,25,54,43,26,113,29,68,71,63,31,52,42,25,49,31,37,27,34,53
chr7.37488114.F,34,47,54,41,45,45,43,22,51,NA,25,54,59,68,49,52,25,53,43,26,113,29,68,71,62,32,51,42,25,48,30,37,27,33,51
chr7.37488118.F,32,45,54,41,44,45,43,22,49,NA,25,53,58,68,48,51,25,52,41,24,113,28,66,70,60,32,50,41,25,48,29,37,27,33,50
chr7.37488123.F,29,43,52,39,42,44,43,20,47,NA,25,53,58,66,48,51,20,52,39,24,112,23,55,69,59,30,48,41,24,48,28,36,27,33,48
chr7.37488125.F,29,42,52,38,42,43,43,20,47,NA,25,53,58,66,48,51,20,52,39,23,112,23,64,69,59,30,48,41,24,48,27,36,27,32,48
chr7.37488128.F,29,42,52,38,42,43,43,20,47,NA,25,52,57,66,48,51,20,52,39,23,111,23,64,69,59,30,48,41,24,48,27,36,27,32,48
chr7.37488158.R,23,25,32,24,30,20,20,17,50,14,25,27,43,32,19,20,NA,23,NA,13,38,NA,45,36,34,22,38,30,11,29,17,19,17,23,18
chr7.37488160.R,23,25,32,24,30,20,20,17,49,14,25,27,43,32,19,20,NA,23,NA,13,38,NA,45,36,34,22,38,30,11,29,17,19,17,23,18
chr7.37488163.R,23,25,32,24,30,20,20,17,50,14,25,27,42,32,19,19,NA,23,NA,13,38,NA,45,36,34,21,38,30,11,29,17,19,17,23,18
chr7.37488167.R,23,25,32,24,30,20,20,17,50,14,25,27,43,32,19,20,NA,23,NA,13,38,NA,45,36,34,22,38,30,11,29,17,19,17,23,18
chr7.37488227.R,27,21,44,17,26,18,24,NA,42,NA,13,24,39,39,24,29,NA,10,NA,NA,32,NA,47,44,11,16,43,29,13,37,18,39,26,35,21
chr7.37488230.R,33,25,51,21,34,25,28,NA,50,NA,15,28,43,42,24,31,16,13,29,NA,33,13,51,46,14,17,46,31,14,40,25,45,28,38,28
chr7.37488239.R,34,26,51,22,36,25,28,NA,52,NA,15,31,54,45,24,31,16,13,30,NA,33,15,52,46,16,17,49,31,14,40,26,45,28,38,28
chr7.37488244.R,34,26,51,22,36,26,28,NA,52,NA,15,31,55,45,24,31,16,13,30,NA,33,15,53,47,16,17,49,31,14,41,27,45,29,38,28
chr7.37488249.R,34,26,51,22,36,26,28,NA,52,NA,14,31,55,45,24,31,16,13,30,NA,33,15,53,47,16,17,49,31,14,41,27,45,29,38,28
chr7.37488251.R,34,26,51,22,36,26,28,NA,52,NA,15,31,55,45,24,31,16,13,30,NA,33,15,53,47,16,17,49,31,14,41,27,45,29,38,28
chr7.37488254.R,34,26,51,22,36,26,28,NA,52,NA,15,31,55,45,24,31,16,13,30,NA,33,15,53,47,16,17,50,31,14,41,27,44,29,37,28
chr7.37488274.R,34,26,51,23,38,27,28,NA,52,NA,15,32,55,45,24,31,17,13,31,NA,33,15,53,48,16,18,51,31,14,41,28,45,29,39,29
chr7.37488290.R,34,26,51,23,38,27,28,NA,52,NA,15,32,55,44,24,31,17,13,31,NA,33,15,53,48,16,18,51,31,14,41,28,44,29,39,29
chr7.37488303.R,34,26,51,23,38,27,28,NA,52,NA,15,32,55,45,24,31,17,13,31,NA,34,15,53,48,16,18,51,31,14,41,28,45,29,39,29
chr7.37488316.R,34,26,51,23,38,27,28,NA,52,NA,15,32,55,45,24,31,17,13,31,NA,34,15,53,48,16,18,51,31,14,41,28,45,29,39,29
chr7.37488378.R,17,20,20,16,NA,NA,25,NA,29,12,12,14,46,25,17,25,14,20,14,NA,43,NA,71,38,33,19,21,26,NA,20,20,16,43,11,17
chr7.37488386.R,17,20,20,17,NA,NA,26,NA,30,15,12,14,46,25,17,25,14,20,14,NA,43,NA,72,39,33,19,21,26,10,20,20,16,43,11,18
chr7.37488388.R,17,20,20,17,NA,NA,26,NA,30,15,12,14,46,25,17,25,14,20,14,NA,43,NA,72,40,33,19,21,26,10,21,20,16,43,11,18
chr7.37488391.R,17,20,20,17,NA,10,26,NA,30,15,12,14,46,25,17,25,14,20,14,NA,43,NA,71,40,33,19,21,26,10,21,20,16,43,11,18
chr7.37488394.R,17,20,20,17,NA,11,26,NA,32,15,12,14,46,26,18,25,14,21,14,NA,46,NA,58,41,33,19,22,26,10,22,20,16,43,12,18
chr7.37488429.R,18,20,20,17,NA,11,27,NA,33,15,12,14,46,27,18,25,14,20,14,NA,47,NA,74,40,32,19,22,26,10,22,20,16,43,13,18
chr7.37488433.R,18,20,21,17,NA,11,26,NA,33,15,12,15,46,27,18,25,14,21,14,NA,47,NA,74,41,33,19,22,26,10,22,20,16,43,13,18
chr7.37488439.R,19,20,21,17,NA,11,27,NA,32,15,12,15,46,27,18,25,14,21,14,NA,47,NA,74,41,33,19,22,26,10,22,20,15,43,13,18
chr7.37488443.R,19,20,21,17,NA,11,27,NA,33,14,12,15,46,27,18,25,13,19,14,NA,47,NA,74,39,33,19,22,26,10,22,20,16,42,12,18
chr7.37488455.R,19,20,21,17,NA,11,27,NA,33,15,12,15,46,27,18,25,15,21,14,NA,48,NA,74,41,33,19,22,26,10,22,20,16,44,13,18
chr7.37488473.R,19,20,21,17,NA,11,27,NA,33,15,12,15,46,27,18,25,15,21,14,NA,49,NA,74,41,33,19,22,26,10,22,20,16,44,13,18
chr7.37488477.R,19,20,21,17,NA,11,27,NA,33,15,11,15,46,28,18,25,15,21,14,NA,49,NA,74,41,33,19,22,26,10,22,20,16,43,13,18
chr7.44143993.F,14,25,34,20,49,27,15,11,29,NA,16,26,10,36,15,24,19,24,19,NA,30,14,21,22,21,13,30,19,16,23,NA,19,27,18,13
chr7.44143998.F,14,25,34,20,49,27,15,11,28,NA,16,26,10,36,14,24,19,24,19,NA,30,14,21,22,21,13,30,19,16,23,NA,19,27,18,13
chr7.44144009.F,14,25,34,20,49,27,15,11,29,NA,16,26,10,36,15,24,19,24,19,NA,30,14,21,22,21,13,30,19,16,23,NA,19,27,18,13
chr7.44144020.F,14,25,34,20,49,27,15,11,29,NA,16,26,10,36,15,24,19,24,19,NA,30,14,21,21,20,13,30,19,16,23,NA,19,27,18,13
chr7.44144025.F,14,25,34,20,49,26,15,11,29,NA,15,25,10,35,15,24,19,24,19,NA,30,14,21,22,21,13,30,19,16,23,NA,19,26,18,13
chr7.44144030.F,14,25,34,20,49,27,15,11,29,NA,16,26,10,36,15,24,19,23,19,NA,30,14,21,22,21,13,30,19,16,23,NA,19,27,18,13
chr7.44144056.F,14,25,34,20,49,27,15,11,29,NA,16,26,NA,27,15,24,19,24,19,NA,30,13,21,19,21,13,30,19,16,23,NA,19,27,18,13
chr7.44144121.F,50,45,37,45,26,28,20,19,28,22,34,47,47,38,29,39,39,48,62,28,62,18,61,55,28,35,70,65,45,38,53,37,56,41,39
chr7.44144131.F,48,41,33,43,25,28,19,16,27,21,33,46,45,36,28,39,38,44,61,27,58,17,59,51,23,33,69,64,45,37,52,35,54,39,39
chr7.44144152.F,47,41,32,43,25,28,19,16,25,21,33,44,45,36,28,39,38,44,61,27,58,17,59,51,23,33,69,63,45,37,52,35,54,38,38
chr7.44144153.R,43,53,55,30,53,24,22,11,25,NA,32,23,28,32,33,19,28,35,30,18,28,14,35,37,13,21,29,25,40,21,35,22,52,37,29
chr7.44144176.F,47,40,32,43,25,28,19,16,25,19,30,43,45,34,27,39,38,42,60,27,57,17,59,50,22,33,67,61,43,35,52,34,54,36,36
chr7.44144177.R,46,56,58,35,65,26,26,12,25,NA,36,29,28,33,33,19,29,37,32,19,31,19,45,37,13,22,32,27,41,22,38,25,57,39,33
chr7.44144181.F,47,40,32,43,25,28,19,16,25,19,30,43,45,34,27,39,38,41,60,27,57,17,59,50,22,33,67,61,43,35,52,34,54,36,36
chr7.44144182.R,46,57,58,35,65,26,26,12,25,NA,36,29,28,33,33,19,29,37,32,19,31,19,45,37,13,22,32,27,41,22,39,25,57,39,33
chr7.44144193.F,47,39,32,43,23,28,18,16,24,19,30,42,45,33,27,39,37,40,60,26,57,17,59,50,22,33,64,61,42,34,52,34,54,36,34
chr7.44144194.R,46,57,58,35,65,26,26,12,25,NA,36,29,28,33,33,19,29,36,31,19,31,19,45,36,13,22,33,27,41,22,39,25,57,39,33
chr7.44144229.R,49,57,58,35,67,26,26,12,26,NA,38,29,28,34,34,19,31,38,32,19,31,19,46,39,14,22,33,27,41,23,39,26,57,39,35
chr7.44144231.R,49,57,57,35,67,26,26,12,26,NA,38,29,27,33,34,19,30,38,32,19,31,19,46,39,14,22,33,27,40,23,39,25,56,39,35
chr7.44144239.F,52,43,49,26,61,36,35,18,53,NA,50,39,31,41,44,34,32,33,33,14,35,21,34,69,33,43,29,30,26,34,42,48,48,34,30
chr7.44144240.R,49,57,58,35,67,26,26,12,26,NA,38,29,28,34,34,19,31,38,32,19,31,19,46,39,14,22,33,27,41,23,39,26,57,39,35
chr7.44144249.F,52,43,49,26,61,36,35,18,53,NA,50,39,31,41,44,34,32,33,33,14,35,21,34,69,33,43,29,30,26,34,42,48,48,34,30
chr7.44144251.F,52,43,49,26,61,36,35,18,53,NA,50,39,31,41,44,34,32,28,33,14,35,21,34,69,33,43,29,30,26,34,42,48,48,34,30
chr7.44144253.F,52,43,49,26,61,36,35,18,53,NA,50,39,31,41,44,34,32,33,33,14,35,21,34,69,33,43,29,30,26,34,42,48,48,34,30
chr7.44144258.F,52,43,49,26,61,36,35,18,53,NA,50,39,31,41,44,34,32,33,33,14,35,21,34,69,33,43,29,30,26,34,42,48,48,34,30
chr7.44144260.F,52,43,49,26,60,36,35,18,53,NA,50,39,31,41,44,34,32,33,32,14,35,21,34,69,33,43,29,30,26,34,41,48,48,34,30
chr7.44144269.F,52,42,49,26,61,34,35,18,53,NA,50,39,31,41,44,33,29,33,29,14,35,20,34,69,32,43,28,30,26,34,41,48,48,34,28
chr7.44144273.F,52,41,49,26,61,36,35,18,53,NA,50,39,31,41,44,33,26,33,29,13,35,19,34,69,33,43,28,30,26,34,41,48,48,34,29
chr7.44144277.F,52,41,49,25,61,35,35,18,53,NA,50,39,31,41,44,33,26,33,29,12,35,17,34,69,33,43,28,29,26,34,41,48,48,34,29
chr7.44144279.F,52,41,49,25,61,36,35,18,53,NA,50,39,31,41,44,33,26,33,29,12,35,17,34,69,33,43,28,30,25,34,41,48,48,34,29
chr7.44144284.F,52,38,49,24,56,35,34,17,53,NA,46,39,31,41,43,33,26,32,29,12,35,17,32,69,33,43,28,30,25,34,41,46,48,13,27
chr7.44144308.F,52,29,47,18,54,33,35,18,50,NA,49,38,31,39,43,33,21,31,25,NA,33,15,33,68,33,40,20,30,24,33,41,48,47,34,25
chr7.44144334.F,45,23,44,12,31,21,30,10,41,NA,37,31,29,37,41,30,20,28,21,NA,31,12,30,59,28,35,18,26,18,31,32,40,40,28,17
chr7.44144335.R,35,29,42,28,48,27,44,22,34,NA,25,40,38,31,50,29,20,25,30,NA,60,27,31,57,38,52,33,31,30,24,23,37,41,20,18
chr7.44144338.F,45,18,44,12,31,21,31,10,42,NA,37,31,29,37,41,30,19,28,20,NA,30,12,30,60,28,36,17,26,18,31,32,40,40,28,17
chr7.44144339.R,35,29,42,28,49,28,44,22,35,NA,25,40,39,31,50,29,21,25,30,NA,60,28,31,57,38,53,33,32,30,24,23,38,41,20,18
chr7.44144345.R,35,29,42,28,50,29,45,22,37,NA,26,40,39,31,50,29,22,25,30,NA,60,29,31,57,39,54,33,32,30,25,23,39,42,21,18
chr7.44144355.R,35,29,42,28,50,29,45,22,37,NA,26,40,39,31,50,29,22,25,30,NA,60,29,31,57,39,54,33,32,30,25,23,39,42,21,18
chr7.44144358.R,35,29,42,28,50,29,45,22,37,NA,26,40,39,31,50,29,22,25,30,NA,60,29,31,57,39,54,33,32,30,25,23,39,42,21,18
chr7.44144361.R,35,29,42,28,50,29,45,22,37,NA,26,41,39,31,50,29,22,25,30,NA,60,30,31,57,39,54,33,32,30,25,23,39,42,21,19
chr7.44144367.R,35,29,42,28,50,29,45,22,37,NA,26,41,39,31,50,29,22,25,30,NA,60,30,31,57,39,54,33,32,30,25,23,39,42,21,19
chr7.44144379.R,35,29,42,28,50,29,45,22,37,NA,26,41,39,31,50,29,22,25,30,NA,60,30,31,57,39,54,33,32,30,25,23,39,42,21,19
chr7.44144413.R,35,29,42,28,50,29,45,22,37,NA,26,41,39,31,50,29,22,25,30,NA,60,30,31,57,39,54,33,32,30,25,23,39,42,21,19
chr7.45613877.F,38,31,27,16,18,19,30,NA,18,NA,10,20,15,NA,16,21,11,NA,NA,15,38,20,24,50,11,15,28,17,12,27,13,18,26,17,25
chr7.45613878.R,23,32,26,21,24,16,20,13,12,14,10,18,22,14,12,19,NA,18,NA,10,23,NA,27,31,NA,18,33,12,10,17,19,11,15,12,23
chr7.45613884.F,38,31,27,16,18,19,30,NA,18,NA,10,20,15,NA,16,21,11,NA,NA,15,38,20,24,50,11,15,28,17,12,27,13,18,26,17,24
chr7.45613891.F,38,31,27,16,18,19,30,NA,18,NA,10,20,15,NA,16,21,11,NA,NA,15,38,20,24,50,11,15,28,17,12,27,13,18,26,17,24
chr7.45613896.F,37,31,27,16,18,19,30,NA,18,NA,10,20,15,NA,16,21,11,NA,NA,15,38,20,24,49,11,15,28,17,12,27,13,18,26,17,24
chr7.45613898.F,37,31,27,16,18,19,30,NA,18,NA,10,20,15,NA,16,21,11,NA,NA,15,38,20,24,50,11,15,28,17,12,27,13,18,26,17,24
chr7.45613902.F,37,31,27,16,18,14,30,NA,18,NA,10,20,15,NA,16,21,11,NA,NA,15,38,20,24,50,11,15,28,17,12,27,13,18,26,17,24
chr7.45613905.F,37,31,27,16,18,19,27,NA,18,NA,10,20,15,NA,16,21,11,NA,NA,15,38,20,24,50,11,15,28,16,12,27,13,18,26,17,24
chr7.45613908.F,37,31,27,16,18,19,30,NA,18,NA,10,20,15,NA,16,21,11,NA,NA,15,38,20,24,50,11,15,28,16,12,27,13,18,26,17,24
chr7.45613909.R,39,35,29,26,32,24,19,18,10,17,14,21,21,15,13,18,12,23,14,21,25,21,28,31,NA,22,42,16,12,19,20,18,17,14,28
chr7.45613917.F,36,31,27,16,18,19,30,NA,18,NA,10,20,15,NA,16,21,11,NA,NA,14,38,20,24,50,11,15,27,16,12,27,13,18,26,17,24
chr7.45613918.R,40,37,32,27,33,24,20,19,10,17,14,22,22,15,13,18,13,23,16,22,25,22,29,31,NA,23,42,16,13,19,20,18,17,14,28
chr7.45613921.F,33,30,27,16,18,19,29,NA,17,NA,10,20,15,NA,16,20,10,NA,NA,12,38,16,24,50,11,14,27,16,11,27,13,18,26,17,24
chr7.45613922.R,40,37,32,27,33,24,20,19,10,17,14,22,22,15,13,18,13,23,16,22,25,22,29,32,NA,23,42,16,13,19,20,18,17,14,28
chr7.45613926.F,32,30,27,16,18,19,29,NA,16,NA,10,19,15,NA,16,20,NA,NA,NA,12,36,15,24,47,11,14,27,15,11,27,13,18,26,17,23
chr7.45613927.R,40,38,32,27,33,24,20,19,10,17,14,22,22,15,13,18,13,23,16,22,25,22,29,32,NA,23,42,16,13,19,20,18,17,14,28
chr7.45613928.F,32,30,27,16,18,19,29,NA,17,NA,10,19,15,NA,16,19,10,NA,NA,12,38,15,24,50,11,14,27,16,11,27,13,18,26,17,23
chr7.45613929.R,40,38,32,27,33,24,20,19,10,17,14,22,22,15,13,18,13,23,16,22,25,23,29,32,NA,23,42,16,13,19,20,18,17,14,28
chr7.45613932.F,32,30,27,16,18,19,29,NA,16,NA,10,19,15,NA,16,19,10,NA,NA,12,38,15,24,50,11,14,27,16,11,27,13,18,25,17,22
chr7.45613933.R,40,39,32,27,33,24,20,19,10,17,14,22,22,15,13,18,13,23,16,22,25,23,29,32,NA,23,42,16,13,19,20,18,17,14,28
chr7.45613944.F,28,29,24,15,13,19,27,NA,16,NA,NA,19,15,NA,16,19,10,NA,NA,10,37,12,24,48,11,14,27,16,11,27,13,18,25,17,20
chr7.45613945.R,40,40,32,27,33,24,20,19,10,17,14,22,22,15,13,18,13,23,16,22,25,23,29,32,NA,23,43,16,13,19,20,18,17,14,28
chr7.45613951.R,40,40,33,27,33,24,20,20,10,17,14,22,22,15,12,18,13,23,15,22,25,23,29,32,NA,23,44,16,14,20,20,18,17,14,29
chr7.45613953.R,40,40,33,27,33,24,20,20,10,18,14,22,22,15,13,18,13,23,16,22,25,23,29,32,NA,24,44,16,14,20,20,19,17,14,29
chr7.45613956.R,41,40,34,27,33,24,20,20,10,18,14,22,22,15,13,18,14,23,16,23,25,23,29,32,NA,24,44,16,14,20,20,19,17,14,29
chr7.45613960.R,41,40,34,27,33,24,20,20,10,18,14,22,22,15,13,18,14,23,16,23,25,23,29,32,NA,24,44,16,14,20,20,19,17,14,29
chr7.45613970.R,41,40,34,27,33,24,20,20,10,18,14,22,22,15,13,18,14,23,16,23,25,23,29,32,NA,24,44,16,14,20,20,19,17,14,29
chr7.45613972.R,41,40,34,27,32,24,20,20,10,18,14,22,22,15,13,18,14,23,16,23,25,23,29,32,NA,24,44,16,14,20,20,19,17,14,29
chr7.45613977.R,41,40,34,27,33,24,20,20,10,18,14,22,22,15,13,18,14,23,16,23,25,23,29,32,NA,24,44,16,14,20,20,19,17,14,29
chr7.45614242.F,18,26,29,12,11,40,25,11,29,10,18,28,NA,30,17,35,21,18,17,10,42,12,40,38,15,24,16,21,NA,23,26,25,21,16,21
chr7.45614246.F,18,26,29,12,11,40,25,11,29,10,18,28,NA,30,17,35,21,18,17,10,42,12,40,38,15,24,16,21,NA,23,26,25,21,16,21
chr7.45614250.F,18,26,29,12,11,40,25,11,29,10,18,28,NA,30,17,35,21,18,17,10,42,12,40,38,15,24,16,21,NA,23,26,25,21,16,21
chr7.45614253.F,18,26,29,12,11,40,25,11,29,10,18,28,NA,30,17,35,21,18,17,10,42,12,40,38,15,24,16,21,NA,23,26,25,21,16,21
chr7.45614262.F,18,26,29,12,11,40,25,11,29,10,18,28,NA,30,17,35,21,18,17,10,42,12,40,38,15,24,16,21,NA,23,26,25,21,16,21
chr7.45614282.F,18,26,29,12,11,39,25,11,29,10,18,28,NA,29,16,35,21,18,16,10,41,12,40,38,14,24,16,21,NA,23,26,24,21,14,21
chr7.45614290.F,18,26,29,12,11,40,25,11,29,10,18,28,NA,30,17,35,21,18,17,10,42,12,40,38,15,24,16,21,NA,23,26,25,21,16,21
chr7.45614292.F,18,26,29,12,11,40,25,11,29,10,18,28,NA,30,17,35,21,18,17,10,42,12,40,38,15,24,16,21,NA,23,26,25,21,16,21
chr7.45614300.F,18,26,29,12,11,40,25,11,29,10,18,28,NA,30,17,35,21,18,17,10,42,12,40,38,15,24,16,21,NA,23,26,25,21,16,21
chr7.45614301.R,28,24,24,17,10,22,23,NA,19,NA,22,35,18,26,15,23,13,14,23,13,21,NA,NA,14,NA,21,14,21,NA,25,16,19,18,21,16
chr7.45614305.F,17,25,28,12,10,39,25,10,29,10,17,27,NA,30,17,35,21,18,17,NA,42,10,40,38,15,24,16,21,NA,23,25,25,21,16,19
chr7.45614306.R,29,24,25,17,11,22,24,NA,20,NA,23,37,18,26,15,23,13,14,25,16,21,NA,NA,14,NA,22,14,21,NA,25,16,20,18,21,19
chr7.45614318.F,17,25,27,12,NA,36,25,10,27,10,17,26,NA,30,17,35,20,17,17,NA,41,10,40,38,14,24,16,21,NA,23,25,24,21,14,19
chr7.45614319.R,29,24,26,18,12,23,24,NA,22,NA,24,37,18,27,15,23,19,14,27,20,21,10,NA,16,NA,22,15,23,NA,25,19,21,18,23,20
chr7.45614324.F,17,25,27,12,NA,37,25,10,27,10,17,26,NA,30,16,35,20,18,17,NA,41,10,40,38,14,24,16,21,NA,23,25,24,21,15,19
chr7.45614325.R,29,24,26,18,12,23,24,NA,22,NA,24,37,18,27,15,23,19,14,27,20,21,10,NA,16,NA,22,14,23,NA,25,19,21,18,23,20
chr7.45614333.F,17,25,23,NA,NA,27,24,NA,21,NA,12,20,NA,27,15,28,18,16,15,NA,39,10,32,34,12,23,15,19,NA,22,24,23,18,14,16
chr7.45614334.R,29,24,27,18,12,24,24,NA,22,NA,25,37,18,27,15,23,19,14,27,20,21,10,NA,16,NA,22,15,23,NA,24,20,21,18,23,21
chr7.45614340.F,16,25,23,10,NA,26,24,NA,21,NA,11,20,NA,26,15,29,18,17,15,NA,38,10,32,34,12,23,15,19,NA,22,21,22,16,13,15
chr7.45614341.R,30,24,27,18,12,24,24,NA,22,NA,25,37,18,27,15,23,19,14,27,21,21,10,NA,16,NA,22,15,23,NA,25,20,21,18,23,21
chr7.45614358.R,30,24,27,18,12,24,25,NA,22,NA,25,37,18,27,15,23,19,14,27,21,21,10,NA,16,NA,22,15,23,NA,25,20,21,19,23,21
chr7.45614362.R,30,24,27,18,12,24,25,NA,22,NA,25,37,18,27,15,23,19,14,27,21,21,10,NA,16,NA,22,15,23,NA,25,20,21,19,23,21
chr7.45614364.R,30,24,27,18,12,24,25,NA,22,NA,25,37,18,27,15,23,19,14,27,21,21,10,NA,16,NA,22,15,23,NA,25,20,21,19,23,21
